Code,Provinces
89.0,An Giang
77.0,Bà Rịa - Vũng Tàu
24.0,Bắc Giang
6.0,Bắc Kạn
95.0,Bạc Liêu
27.0,Bắc Ninh
83.0,Bến Tre
52.0,Bình Định
74.0,Bình Dương
70.0,Bình Phước
60.0,Bình Thuận
96.0,Cà Mau
92.0,Cần Thơ
4.0,Cao Bằng
48.0,Đà Nẵng
66.0,Đắk Lắk
67.0,Đắk Nông
11.0,Điện Biên
75.0,Đồng Nai
87.0,Đồng Tháp
64.0,Gia Lai
2.0,Hà Giang
35.0,Hà Nam
1.0,Hà Nội
42.0,Hà Tĩnh
30.0,Hải Dương
31.0,Hải Phòng
93.0,Hậu Giang
17.0,Hòa Bình
33.0,Hưng Yên
56.0,Khánh Hòa
91.0,Kiên Giang
62.0,Kon Tum
12.0,Lai Châu
68.0,Lâm Đồng
20.0,Lạng Sơn
10.0,Lào Cai
80.0,Long An
36.0,Nam Định
40.0,Nghệ An
37.0,Ninh Bình
58.0,Ninh Thuận
25.0,Phú Thọ
54.0,Phú Yên
44.0,Quảng Bình
49.0,Quảng Nam
51.0,Quảng Ngãi
22.0,Quảng Ninh
45.0,Quảng Trị
94.0,Sóc Trăng
14.0,Sơn La
72.0,Tây Ninh
34.0,Thái Bình
19.0,Thái Nguyên
38.0,Thanh Hóa
46.0,Thừa Thiên Huế
82.0,Tiền Giang
79.0,TP.HCM
84.0,Trà Vinh
8.0,Tuyên Quang
86.0,Vĩnh Long
26.0,Vĩnh Phúc
15.0,Yên Bái
